Statistic,Scope,Value
Median of Matches Played,all,23.0
Mean of Matches Played,all,21.399585921325052
Std of Matches Played,all,9.972147926500949
Median of Matches Played,Arsenal,23.5
Mean of Matches Played,Arsenal,23.272727272727273
Std of Matches Played,Arsenal,8.066283844803323
Median of Matches Played,Aston Villa,21.0
Mean of Matches Played,Aston Villa,19.77777777777778
Std of Matches Played,Aston Villa,10.36018017861337
Median of Matches Played,Bournemouth,26.0
Mean of Matches Played,Bournemouth,22.217391304347824
Std of Matches Played,Bournemouth,10.180000543575314
Median of Matches Played,Brentford,28.0
Mean of Matches Played,Brentford,23.523809523809526
Std of Matches Played,Brentford,11.382526290850583
Median of Matches Played,Brighton,22.5
Mean of Matches Played,Brighton,20.076923076923077
Std of Matches Played,Brighton,10.221244843650217
Median of Matches Played,Chelsea,23.5
Mean of Matches Played,Chelsea,20.583333333333332
Std of Matches Played,Chelsea,11.240132548602125
Median of Matches Played,Crystal Palace,30.0
Mean of Matches Played,Crystal Palace,24.047619047619047
Std of Matches Played,Crystal Palace,10.632385388407394
Median of Matches Played,Everton,25.0
Mean of Matches Played,Everton,22.904761904761905
Std of Matches Played,Everton,9.213602780154796
Median of Matches Played,Fulham,28.0
Mean of Matches Played,Fulham,25.1
Std of Matches Played,Fulham,9.278724957778696
Median of Matches Played,Ipswich Town,19.0
Mean of Matches Played,Ipswich Town,18.482758620689655
Std of Matches Played,Ipswich Town,9.038096708833482
Median of Matches Played,Leicester City,21.0
Mean of Matches Played,Leicester City,19.96
Std of Matches Played,Leicester City,9.816992071573315
Median of Matches Played,Liverpool,28.0
Mean of Matches Played,Liverpool,25.19047619047619
Std of Matches Played,Liverpool,8.92535180045609
Median of Matches Played,Manchester City,23.0
Mean of Matches Played,Manchester City,19.88
Std of Matches Played,Manchester City,8.973665174646682
Median of Matches Played,Manchester Utd,20.0
Mean of Matches Played,Manchester Utd,17.666666666666668
Std of Matches Played,Manchester Utd,11.454056150501907
Median of Matches Played,Newcastle Utd,27.0
Mean of Matches Played,Newcastle Utd,23.217391304347824
Std of Matches Played,Newcastle Utd,10.144216989986017
Median of Matches Played,Nott'ham Forest,31.0
Mean of Matches Played,Nott'ham Forest,25.238095238095237
Std of Matches Played,Nott'ham Forest,10.5778294649931
Median of Matches Played,Southampton,20.0
Mean of Matches Played,Southampton,18.655172413793103
Std of Matches Played,Southampton,10.379498549919608
Median of Matches Played,Tottenham,22.0
Mean of Matches Played,Tottenham,19.333333333333332
Std of Matches Played,Tottenham,9.232051193032307
Median of Matches Played,West Ham,20.0
Mean of Matches Played,West Ham,21.56
Std of Matches Played,West Ham,8.529751852584381
Median of Matches Played,Wolves,26.0
Mean of Matches Played,Wolves,22.782608695652176
Std of Matches Played,Wolves,8.923699404798082
Median of Starts,all,15.0
Mean of Starts,all,15.747412008281573
Std of Starts,all,10.964974817526219
Median of Starts,Arsenal,16.5
Mean of Starts,Arsenal,17.5
Std of Starts,Arsenal,10.39574088612392
Median of Starts,Aston Villa,11.0
Mean of Starts,Aston Villa,14.11111111111111
Std of Starts,Aston Villa,11.72221209543047
Median of Starts,Bournemouth,17.0
Mean of Starts,Bournemouth,16.695652173913043
Std of Starts,Bournemouth,11.632379505691295
Median of Starts,Brentford,21.0
Mean of Starts,Brentford,18.333333333333332
Std of Starts,Brentford,13.297869503545797
Median of Starts,Brighton,13.5
Mean of Starts,Brighton,14.653846153846153
Std of Starts,Brighton,9.943610240520524
Median of Starts,Chelsea,13.5
Mean of Starts,Chelsea,15.458333333333334
Std of Starts,Chelsea,12.025260249074487
Median of Starts,Crystal Palace,19.0
Mean of Starts,Crystal Palace,18.238095238095237
Std of Starts,Crystal Palace,12.87208126879551
Median of Starts,Everton,15.0
Mean of Starts,Everton,18.047619047619047
Std of Starts,Everton,10.53316756952148
Median of Starts,Fulham,17.5
Mean of Starts,Fulham,17.65
Std of Starts,Fulham,11.577087171150655
Median of Starts,Ipswich Town,12.0
Mean of Starts,Ipswich Town,13.10344827586207
Std of Starts,Ipswich Town,9.74072756004472
Median of Starts,Leicester City,14.0
Mean of Starts,Leicester City,14.76
Std of Starts,Leicester City,10.170545708072895
Median of Starts,Liverpool,20.0
Mean of Starts,Liverpool,18.333333333333332
Std of Starts,Liverpool,11.921968517544967
Median of Starts,Manchester City,17.0
Mean of Starts,Manchester City,15.36
Std of Starts,Manchester City,8.625929901562305
Median of Starts,Manchester Utd,11.5
Mean of Starts,Manchester Utd,12.833333333333334
Std of Starts,Manchester Utd,10.780196829286604
Median of Starts,Newcastle Utd,14.0
Mean of Starts,Newcastle Utd,16.73913043478261
Std of Starts,Newcastle Utd,12.588657922923923
Median of Starts,Nott'ham Forest,20.0
Mean of Starts,Nott'ham Forest,18.095238095238095
Std of Starts,Nott'ham Forest,13.326307672813059
Median of Starts,Southampton,13.0
Mean of Starts,Southampton,13.241379310344827
Std of Starts,Southampton,9.840351229263666
Median of Starts,Tottenham,16.0
Mean of Starts,Tottenham,14.222222222222221
Std of Starts,Tottenham,8.092414935430554
Median of Starts,West Ham,14.0
Mean of Starts,West Ham,15.4
Std of Starts,West Ham,10.862780491200215
Median of Starts,Wolves,15.0
Mean of Starts,Wolves,16.652173913043477
Std of Starts,Wolves,10.907081501367374
Median of Minutes,all,1364.0
Mean of Minutes,all,1411.376811594203
Std of Minutes,all,928.1980282839137
Median of Minutes,Arsenal,1478.5
Mean of Minutes,Arsenal,1564.4545454545455
Std of Minutes,Arsenal,902.9764921937589
Median of Minutes,Aston Villa,1051.0
Mean of Minutes,Aston Villa,1264.6666666666667
Std of Minutes,Aston Villa,948.0664939354607
Median of Minutes,Bournemouth,1670.0
Mean of Minutes,Bournemouth,1494.608695652174
Std of Minutes,Bournemouth,1004.3940615266696
Median of Minutes,Brentford,1913.0
Mean of Minutes,Brentford,1638.095238095238
Std of Minutes,Brentford,1122.0364479267998
Median of Minutes,Brighton,1271.5
Mean of Minutes,Brighton,1307.9615384615386
Std of Minutes,Brighton,881.6453926956906
Median of Minutes,Chelsea,1200.5
Mean of Minutes,Chelsea,1390.2916666666667
Std of Minutes,Chelsea,1046.9193930669687
Median of Minutes,Crystal Palace,1652.0
Mean of Minutes,Crystal Palace,1633.047619047619
Std of Minutes,Crystal Palace,1082.8501039474704
Median of Minutes,Everton,1391.0
Mean of Minutes,Everton,1612.142857142857
Std of Minutes,Everton,898.7453079551674
Median of Minutes,Fulham,1620.5
Mean of Minutes,Fulham,1585.1
Std of Minutes,Fulham,966.6865218771529
Median of Minutes,Ipswich Town,990.0
Mean of Minutes,Ipswich Town,1169.9655172413793
Std of Minutes,Ipswich Town,802.7853957475907
Median of Minutes,Leicester City,1391.0
Mean of Minutes,Leicester City,1325.36
Std of Minutes,Leicester City,841.2718486513936
Median of Minutes,Liverpool,1717.0
Mean of Minutes,Liverpool,1643.095238095238
Std of Minutes,Liverpool,977.4990488364634
Median of Minutes,Manchester City,1494.0
Mean of Minutes,Manchester City,1381.36
Std of Minutes,Manchester City,766.2823065511387
Median of Minutes,Manchester Utd,1071.0
Mean of Minutes,Manchester Utd,1149.6666666666667
Std of Minutes,Manchester Utd,931.0153276020138
Median of Minutes,Newcastle Utd,1503.0
Mean of Minutes,Newcastle Utd,1502.8695652173913
Std of Minutes,Newcastle Utd,1050.9113060208886
Median of Minutes,Nott'ham Forest,1874.0
Mean of Minutes,Nott'ham Forest,1628.5238095238096
Std of Minutes,Nott'ham Forest,1099.9405265307582
Median of Minutes,Southampton,1178.0
Mean of Minutes,Southampton,1184.3103448275863
Std of Minutes,Southampton,856.2372878492552
Median of Minutes,Tottenham,1300.0
Mean of Minutes,Tottenham,1277.7777777777778
Std of Minutes,Tottenham,694.5650732837356
Median of Minutes,West Ham,1070.0
Mean of Minutes,West Ham,1381.52
Std of Minutes,West Ham,914.3885078747071
Median of Minutes,Wolves,1364.0
Mean of Minutes,Wolves,1495.2173913043478
Std of Minutes,Wolves,875.6224776238662
Median of Goals,all,1.0
Mean of Goals,all,2.049689440993789
Std of Goals,all,3.580377438266592
Median of Goals,Arsenal,2.0
Mean of Goals,Arsenal,2.8181818181818183
Std of Goals,Arsenal,2.8053751745764544
Median of Goals,Aston Villa,1.0
Mean of Goals,Aston Villa,1.8888888888888888
Std of Goals,Aston Villa,3.355057414771058
Median of Goals,Bournemouth,1.0
Mean of Goals,Bournemouth,2.347826086956522
Std of Goals,Bournemouth,3.5879684762496544
Median of Goals,Brentford,0.0
Mean of Goals,Brentford,2.9047619047619047
Std of Goals,Brentford,5.539898572219188
Median of Goals,Brighton,1.0
Mean of Goals,Brighton,2.076923076923077
Std of Goals,Brighton,3.0844523264019097
Median of Goals,Chelsea,1.0
Mean of Goals,Chelsea,2.4166666666666665
Std of Goals,Chelsea,3.7638632635454052
Median of Goals,Crystal Palace,0.0
Mean of Goals,Crystal Palace,1.9047619047619047
Std of Goals,Crystal Palace,3.4044788427123747
Median of Goals,Everton,1.0
Mean of Goals,Everton,1.5238095238095237
Std of Goals,Everton,2.1821789023599236
Median of Goals,Fulham,0.5
Mean of Goals,Fulham,2.4
Std of Goals,Fulham,3.37794705639231
Median of Goals,Ipswich Town,0.0
Mean of Goals,Ipswich Town,1.103448275862069
Std of Goals,Ipswich Town,2.350453263069045
Median of Goals,Leicester City,0.0
Mean of Goals,Leicester City,0.96
Std of Goals,Leicester City,1.8814887722226779
Median of Goals,Liverpool,1.0
Mean of Goals,Liverpool,3.8095238095238093
Std of Goals,Liverpool,6.493219907095766
Median of Goals,Manchester City,1.0
Mean of Goals,Manchester City,2.64
Std of Goals,Manchester City,4.414748010928823
Median of Goals,Manchester Utd,0.0
Mean of Goals,Manchester Utd,1.3333333333333333
Std of Goals,Manchester Utd,2.2641635942681337
Median of Goals,Newcastle Utd,0.0
Mean of Goals,Newcastle Utd,2.782608695652174
Std of Goals,Newcastle Utd,5.187016323467755
Median of Goals,Nott'ham Forest,1.0
Mean of Goals,Nott'ham Forest,2.5238095238095237
Std of Goals,Nott'ham Forest,4.226334672254998
Median of Goals,Southampton,0.0
Mean of Goals,Southampton,0.8275862068965517
Std of Goals,Southampton,1.0713464664764276
Median of Goals,Tottenham,1.0
Mean of Goals,Tottenham,2.2222222222222223
Std of Goals,Tottenham,3.250246538972477
Median of Goals,West Ham,0.0
Mean of Goals,West Ham,1.48
Std of Goals,West Ham,2.6
Median of Goals,Wolves,1.0
Mean of Goals,Wolves,2.1739130434782608
Std of Goals,Wolves,3.9387604639143587
Median of Goals.1,all,0.03
Mean of Goals.1,all,0.11840579710144927
Std of Goals.1,all,0.18243780537321327
Median of Goals.1,Arsenal,0.10500000000000001
Mean of Goals.1,Arsenal,0.16272727272727272
Std of Goals.1,Arsenal,0.16406101705163637
Median of Goals.1,Aston Villa,0.03
Mean of Goals.1,Aston Villa,0.16111111111111112
Std of Goals.1,Aston Villa,0.2819347078441735
Median of Goals.1,Bournemouth,0.03
Mean of Goals.1,Bournemouth,0.13521739130434782
Std of Goals.1,Bournemouth,0.18007244918788032
Median of Goals.1,Brentford,0.0
Mean of Goals.1,Brentford,0.1157142857142857
Std of Goals.1,Brentford,0.194642529488584
Median of Goals.1,Brighton,0.045
Mean of Goals.1,Brighton,0.11576923076923076
Std of Goals.1,Brighton,0.14442085934997276
Median of Goals.1,Chelsea,0.05
Mean of Goals.1,Chelsea,0.14708333333333332
Std of Goals.1,Chelsea,0.21010306304632798
Median of Goals.1,Crystal Palace,0.0
Mean of Goals.1,Crystal Palace,0.08523809523809524
Std of Goals.1,Crystal Palace,0.1301006936038024
Median of Goals.1,Everton,0.03
Mean of Goals.1,Everton,0.09047619047619049
Std of Goals.1,Everton,0.13313437536850467
Median of Goals.1,Fulham,0.015
Mean of Goals.1,Fulham,0.16850000000000004
Std of Goals.1,Fulham,0.2485383587888873
Median of Goals.1,Ipswich Town,0.0
Mean of Goals.1,Ipswich Town,0.08172413793103449
Std of Goals.1,Ipswich Town,0.14322980948504804
Median of Goals.1,Leicester City,0.0
Mean of Goals.1,Leicester City,0.0508
Std of Goals.1,Leicester City,0.08400992004916245
Median of Goals.1,Liverpool,0.04
Mean of Goals.1,Liverpool,0.16523809523809524
Std of Goals.1,Liverpool,0.23183224641147415
Median of Goals.1,Manchester City,0.06
Mean of Goals.1,Manchester City,0.1784
Std of Goals.1,Manchester City,0.24563998045920782
Median of Goals.1,Manchester Utd,0.0
Mean of Goals.1,Manchester Utd,0.07433333333333335
Std of Goals.1,Manchester Utd,0.11705240009421462
Median of Goals.1,Newcastle Utd,0.0
Mean of Goals.1,Newcastle Utd,0.16086956521739132
Std of Goals.1,Newcastle Utd,0.2581034507796202
Median of Goals.1,Nott'ham Forest,0.07
Mean of Goals.1,Nott'ham Forest,0.12285714285714289
Std of Goals.1,Nott'ham Forest,0.16016063365080876
Median of Goals.1,Southampton,0.0
Mean of Goals.1,Southampton,0.051379310344827595
Std of Goals.1,Southampton,0.07637894894776003
Median of Goals.1,Tottenham,0.06
Mean of Goals.1,Tottenham,0.13481481481481483
Std of Goals.1,Tottenham,0.19355719429767385
Median of Goals.1,West Ham,0.0
Mean of Goals.1,West Ham,0.084
Std of Goals.1,West Ham,0.12529964086141665
Median of Goals.1,Wolves,0.07
Mean of Goals.1,Wolves,0.12217391304347826
Std of Goals.1,Wolves,0.16700453237559781
Median of Goals.2,all,1.0
Mean of Goals.2,all,2.049689440993789
Std of Goals.2,all,3.580377438266592
Median of Goals.2,Arsenal,2.0
Mean of Goals.2,Arsenal,2.8181818181818183
Std of Goals.2,Arsenal,2.8053751745764544
Median of Goals.2,Aston Villa,1.0
Mean of Goals.2,Aston Villa,1.8888888888888888
Std of Goals.2,Aston Villa,3.355057414771058
Median of Goals.2,Bournemouth,1.0
Mean of Goals.2,Bournemouth,2.347826086956522
Std of Goals.2,Bournemouth,3.5879684762496544
Median of Goals.2,Brentford,0.0
Mean of Goals.2,Brentford,2.9047619047619047
Std of Goals.2,Brentford,5.539898572219188
Median of Goals.2,Brighton,1.0
Mean of Goals.2,Brighton,2.076923076923077
Std of Goals.2,Brighton,3.0844523264019097
Median of Goals.2,Chelsea,1.0
Mean of Goals.2,Chelsea,2.4166666666666665
Std of Goals.2,Chelsea,3.7638632635454052
Median of Goals.2,Crystal Palace,0.0
Mean of Goals.2,Crystal Palace,1.9047619047619047
Std of Goals.2,Crystal Palace,3.4044788427123747
Median of Goals.2,Everton,1.0
Mean of Goals.2,Everton,1.5238095238095237
Std of Goals.2,Everton,2.1821789023599236
Median of Goals.2,Fulham,0.5
Mean of Goals.2,Fulham,2.4
Std of Goals.2,Fulham,3.37794705639231
Median of Goals.2,Ipswich Town,0.0
Mean of Goals.2,Ipswich Town,1.103448275862069
Std of Goals.2,Ipswich Town,2.350453263069045
Median of Goals.2,Leicester City,0.0
Mean of Goals.2,Leicester City,0.96
Std of Goals.2,Leicester City,1.8814887722226779
Median of Goals.2,Liverpool,1.0
Mean of Goals.2,Liverpool,3.8095238095238093
Std of Goals.2,Liverpool,6.493219907095766
Median of Goals.2,Manchester City,1.0
Mean of Goals.2,Manchester City,2.64
Std of Goals.2,Manchester City,4.414748010928823
Median of Goals.2,Manchester Utd,0.0
Mean of Goals.2,Manchester Utd,1.3333333333333333
Std of Goals.2,Manchester Utd,2.2641635942681337
Median of Goals.2,Newcastle Utd,0.0
Mean of Goals.2,Newcastle Utd,2.782608695652174
Std of Goals.2,Newcastle Utd,5.187016323467755
Median of Goals.2,Nott'ham Forest,1.0
Mean of Goals.2,Nott'ham Forest,2.5238095238095237
Std of Goals.2,Nott'ham Forest,4.226334672254998
Median of Goals.2,Southampton,0.0
Mean of Goals.2,Southampton,0.8275862068965517
Std of Goals.2,Southampton,1.0713464664764276
Median of Goals.2,Tottenham,1.0
Mean of Goals.2,Tottenham,2.2222222222222223
Std of Goals.2,Tottenham,3.250246538972477
Median of Goals.2,West Ham,0.0
Mean of Goals.2,West Ham,1.48
Std of Goals.2,West Ham,2.6
Median of Goals.2,Wolves,1.0
Mean of Goals.2,Wolves,2.1739130434782608
Std of Goals.2,Wolves,3.9387604639143587
Median of Goals.3,all,0.03
Mean of Goals.3,all,0.11840579710144927
Std of Goals.3,all,0.18243780537321327
Median of Goals.3,Arsenal,0.10500000000000001
Mean of Goals.3,Arsenal,0.16272727272727272
Std of Goals.3,Arsenal,0.16406101705163637
Median of Goals.3,Aston Villa,0.03
Mean of Goals.3,Aston Villa,0.16111111111111112
Std of Goals.3,Aston Villa,0.2819347078441735
Median of Goals.3,Bournemouth,0.03
Mean of Goals.3,Bournemouth,0.13521739130434782
Std of Goals.3,Bournemouth,0.18007244918788032
Median of Goals.3,Brentford,0.0
Mean of Goals.3,Brentford,0.1157142857142857
Std of Goals.3,Brentford,0.194642529488584
Median of Goals.3,Brighton,0.045
Mean of Goals.3,Brighton,0.11576923076923076
Std of Goals.3,Brighton,0.14442085934997276
Median of Goals.3,Chelsea,0.05
